"date","QUANTITY"
2010-01-01,0
2010-01-02,135
2010-01-03,81
2010-01-04,94
2010-01-05,96
2010-01-06,101
2010-01-07,59
2010-01-08,28
2010-01-09,86
2010-01-10,105
2010-01-11,104
2010-01-12,90
2010-01-13,86
2010-01-14,79
2010-01-15,35
2010-01-16,89
2010-01-17,83
2010-01-18,67
2010-01-19,94
2010-01-20,93
2010-01-21,47
2010-01-22,34
2010-01-23,46
2010-01-24,70
2010-01-25,62
2010-01-26,71
2010-01-27,96
2010-01-28,43
2010-01-29,24
2010-01-30,89
2010-01-31,107
2010-02-01,74
2010-02-02,86
2010-02-03,62
2010-02-04,48
2010-02-05,27
2010-02-06,78
2010-02-07,110
2010-02-08,64
2010-02-09,74
2010-02-10,78
2010-02-11,60
2010-02-12,39
2010-02-13,104
2010-02-14,97
2010-02-15,63
2010-02-16,62
2010-02-17,112
2010-02-18,79
2010-02-19,44
2010-02-20,128
2010-02-21,81
2010-02-22,69
2010-02-23,64
2010-02-24,59
2010-02-25,35
2010-02-26,31
2010-02-27,111
2010-02-28,111
2010-03-01,57
2010-03-02,73
2010-03-03,61
2010-03-04,61
2010-03-05,28
2010-03-06,115
2010-03-07,104
2010-03-08,75
2010-03-09,72
2010-03-10,64
2010-03-11,49
2010-03-12,31
2010-03-13,120
2010-03-14,101
2010-03-15,89
2010-03-16,148
2010-03-17,154
2010-03-18,159
2010-03-19,31
2010-03-20,130
2010-03-21,101
2010-03-22,119
2010-03-23,105
2010-03-24,98
2010-03-25,112
2010-03-26,41
2010-03-27,174
2010-03-28,153
2010-03-29,125
2010-03-30,125
2010-03-31,97
2010-04-01,117
2010-04-02,38
2010-04-03,131
2010-04-04,0
2010-04-05,145
2010-04-06,120
2010-04-07,136
2010-04-08,93
2010-04-09,53
2010-04-10,180
2010-04-11,190
2010-04-12,141
2010-04-13,140
2010-04-14,174
2010-04-15,126
2010-04-16,44
2010-04-17,219
2010-04-18,182
2010-04-19,121
2010-04-20,137
2010-04-21,168
2010-04-22,82
2010-04-23,36
2010-04-24,149
2010-04-25,98
2010-04-26,104
2010-04-27,115
2010-04-28,102
2010-04-29,91
2010-04-30,28
2010-05-01,185
2010-05-02,56
2010-05-03,110
2010-05-04,138
2010-05-05,128
2010-05-06,160
2010-05-07,33
2010-05-08,129
2010-05-09,90
2010-05-10,140
2010-05-11,124
2010-05-12,135
2010-05-13,138
2010-05-14,39
2010-05-15,226
2010-05-16,131
2010-05-17,172
2010-05-18,266
2010-05-19,164
2010-05-20,151
2010-05-21,46
2010-05-22,447
2010-05-23,175
2010-05-24,149
2010-05-25,198
2010-05-26,209
2010-05-27,87
2010-05-28,51
2010-05-29,560
2010-05-30,293
2010-05-31,1089
2010-06-01,851
2010-06-02,974
2010-06-03,863
2010-06-04,811
2010-06-05,1168
2010-06-06,578
2010-06-07,1047
2010-06-08,1286
2010-06-09,1192
2010-06-10,1107
2010-06-11,700
2010-06-12,617
2010-06-13,326
2010-06-14,682
2010-06-15,708
2010-06-16,806
2010-06-17,560
2010-06-18,503
2010-06-19,543
